
Date,Average Temperature
1/15/2016,-7.662859206
1/16/2016,-7.292646429
1/17/2016,-15.43050542
1/18/2016,-15.03968085
1/19/2016,-9.477989286
1/20/2016,-9.577007299
1/21/2016,-9.035660714
1/22/2016,-6.98469258
1/23/2016,-7.387711744
1/24/2016,-6.385398551
1/25/2016,-6.07755516
1/26/2016,-8.230103203
1/27/2016,-9.839992727
1/28/2016,-11.40358571
1/29/2016,-13.04766906
1/30/2016,-14.87655914
1/31/2016,-13.86775801
2/1/2016,-15.15068345
2/2/2016,-12.4737276
2/3/2016,-8.88931295
2/4/2016,-10.23380212
2/5/2016,-6.737594891
2/6/2016,-3.030072464
2/7/2016,-0.892021277
2/8/2016,-4.629010791
2/9/2016,-9.665105072
2/10/2016,-17.895
2/11/2016,-17.03387097
2/12/2016,-13.53862676
2/13/2016,-12.22388612
2/14/2016,-11.06526087
2/15/2016,-12.52884892
2/16/2016,-14.88295374
2/17/2016,-11.11267148
2/18/2016,-7.654398551
2/19/2016,-5.137689286
2/20/2016,-7.453786477
2/21/2016,-6.999543165
2/22/2016,-7.364955882
2/23/2016,-4.621517857
2/24/2016,-2.501184116
2/25/2016,3.933217082
2/26/2016,1.557181495
2/27/2016,0.714906475
2/28/2016,-1.356469534
2/29/2016,-0.216570397
3/1/2016,-2.071466431
3/2/2016,-5.031894928
3/3/2016,-0.23475265
3/4/2016,3.033964664
3/5/2016,1.1304
3/6/2016,0.088681159
3/7/2016,-0.318709677
3/8/2016,-1.160935018
3/9/2016,0.383952727
3/10/2016,-1.476068345
3/11/2016,-2.009101399
3/12/2016,-4.503413428
3/13/2016,-4.746640569
3/14/2016,-7.249848921
3/15/2016,-6.497475177
3/16/2016,-4.730556738
3/17/2016,-5.738333333
3/18/2016,-6.54079078
3/19/2016,-7.492848921
3/20/2016,-6.85062766
3/21/2016,-6.116489437
3/22/2016,-2.263164234
3/23/2016,0.483754448
3/24/2016,0.760876325
3/25/2016,-1.545651246
3/26/2016,0.015299639
3/27/2016,0.815197802
3/28/2016,0.597141304
3/29/2016,0.707697509
3/30/2016,2.238748227
3/31/2016,-0.492633094
4/1/2016,-2.173084806
4/2/2016,-4.208111111
4/3/2016,-0.905345324
4/4/2016,-4.289703571
4/5/2016,-0.859523297
4/6/2016,-0.793925795
4/7/2016,-1.395729537
4/8/2016,-2.75066548
4/9/2016,-5.982812057
4/10/2016,-3.705898917
4/11/2016,0.181637681
4/12/2016,-4.378195035
4/13/2016,-2.750129496
4/14/2016,2.018795053
4/15/2016,4.724877698
4/16/2016,6.436361314
4/17/2016,4.380442857
4/18/2016,-1.052035587
4/19/2016,2.279086331
4/20/2016,0.605038869
4/21/2016,-2.991302158
4/22/2016,-3.315195035
4/23/2016,-1.381476364
4/24/2016,-0.569946429
4/25/2016,0.44944523
4/26/2016,-0.031003571
4/27/2016,1.162538732
4/28/2016,1.202085106
4/29/2016,2.220848375
4/30/2016,3.271096429
5/1/2016,6.803007067
5/2/2016,1.666057554
5/3/2016,0.751538732
5/4/2016,1.846369338
5/5/2016,3.405140794
5/6/2016,3.027010714
5/7/2016,4.514485612
5/8/2016,5.377908127
5/9/2016,2.616360714
5/10/2016,-1.000905263
5/11/2016,1.406132616
5/12/2016,-1.386780576
5/13/2016,3.13734296
5/14/2016,3.299647887
5/15/2016,2.482222628
5/16/2016,0.740478723
5/17/2016,1.244173145
5/18/2016,-1.739754513
5/19/2016,-0.47769258
5/20/2016,2.167596429
5/21/2016,5.460719858
5/22/2016,7.006793478
5/23/2016,0.258259124
5/24/2016,3.707953069
5/25/2016,4.9162
5/26/2016,3.339125
5/27/2016,0.858583039
5/28/2016,0.977555556
5/29/2016,-0.147985714
5/30/2016,1.633014388
5/31/2016,5.239750916
6/1/2016,6.998921147
6/2/2016,7.959107527
6/3/2016,5.733487633
6/4/2016,7.192053381
6/5/2016,6.588385714
6/6/2016,7.963014184
6/7/2016,9.842251799
6/8/2016,9.489521898
6/9/2016,10.13716961
6/10/2016,11.36615658
6/11/2016,8.961575972
6/12/2016,7.56860424
6/13/2016,9.881727915
6/14/2016,10.04419149
6/15/2016,7.890544803
6/16/2016,4.32798227
6/17/2016,5.055806452
6/27/2016,5.233953782
6/28/2016,7.880526882
